ID,Name,Disciplines,Projects,Organisations,Publications
f72dadcb-58d9-4ead-a698-ce602a851163,Sarah Delcourt,"['05010201', '05010202', '05010803', '05011002']",['6e95ad88-81a3-4ca3-b03c-e7c09a61a134'],['2dd85e01-73fe-4e51-b38b-bd729d4a251f'],[]
23344b52-607b-4d01-bfe0-c0a62177f089,Thomas De Kerf,['01020902'],[],['829349db-e58d-489b-a5c6-31ac55408f79'],[]
a8a82a11-844f-418c-b483-2fbace964a8f,SeyedFarhad Aghili,['01020204'],[],['f56b5775-7c6a-4d0f-96fd-09d6f515ab60'],[]
99639826-218b-406e-a15f-9487afb023a3,Maarten Schelles,"['02020404', '02020702', '02020901', '02060102', '03062306']",['1d98f9bd-22dd-4a75-9f40-6cd6535ea51b'],['ab3545a5-11ef-4067-84dd-9cb5ddc3b2ea'],[]
a338f822-8005-4786-8332-47f9d6ba4d10,Matteo Giletta,"['05010606', '05010699', '05010306', '05010399']","['8f68bba7-4c14-4f05-af05-3caa70371827', 'defd7831-0500-43ba-b204-78b6c3ab8ddc']",['1e4463b9-dcf0-489a-9756-02f5e4c50f2c'],[]
c3c29435-3da1-4954-aaaf-11c9ef9b99f1,Xudong Zhao,"['02020603', '02020606']",[],['f2406cda-0683-427d-8217-e1071d3a5e3c'],"['249732b4-8632-4d50-9466-08fcdf683369', 'ba231c70-622a-4650-beaf-e5249d6fb0da']"
dd8f93a2-a45c-416f-bd74-9ccd2d3da28a,Nico Staring,"['06010104', '06010115', '06010119']",[],['98a16771-8925-4a6b-b36c-04673978c5df'],[]
1977a7cb-2284-4289-abeb-f6fe377f2c50,Phan Thanh Tung,['05020202'],['3e950134-569a-4377-a862-cc2d068f3dcb'],['823e6d74-48dc-4c11-9643-e10b1563091e'],[]
cf19f7db-57b8-4e07-87f4-76d1ecf62746,Ilia Goemaere,['03021403'],[],['03bd77e2-bef0-46bc-9e50-271d552f8d91'],[]
f5f24420-ebc5-4cde-b914-6fd97c323ea3,Arne Ramisch,"['01050304', '01050311', '01050602', '01050605', '01050606']",[],['d2e34abd-0ec5-4fe1-9dba-121d5f0a4809'],"['092d5246-97b8-4212-94ba-19e980530427', '677afe66-8189-4269-8ca0-b96d9b3e7dda']"
