Loi,vods
c:vabb:153828,060304 Theology and religious studies
c:vabb:153830,060302 Philosophy
c:vabb:153831,060302 Philosophy
c:vabb:165413,0604 Arts
c:vabb:165413,060203 Literary studies
c:vabb:168042,0306 Translational sciences
c:vabb:171012,0302 Clinical sciences
c:vabb:171200,0504 Sociology and anthropology
c:vabb:173404,0303 Health sciences
c:vabb:173517,0504 Sociology and anthropology
c:vabb:175385,0102 Information and computing sciences
c:vabb:175385,0502 Economics and business
c:vabb:175385,0299 Other engineering and technology
c:vabb:176926,060203 Literary studies
c:vabb:179135,060304 Theology and religious studies
c:vabb:179318,060304 Theology and religious studies
c:vabb:185065,0302 Clinical sciences
c:vabb:207214,0503 Pedagogical and educational sciences
c:vabb:208024,0201 Civil and building engineering
c:vabb:208407,0501 Psychology and cognitive sciences
c:vabb:209277,0502 Economics and business
c:vabb:265153,0302 Clinical sciences
c:vabb:265154,0306 Translational sciences
c:vabb:265156,0306 Translational sciences
c:vabb:265156,0302 Clinical sciences
c:vabb:265157,0302 Clinical sciences
c:vabb:267425,060104 History
c:vabb:267430,0508 	Media and communications
c:vabb:267434,0504 Sociology and anthropology
c:vabb:267435,0504 Sociology and anthropology
c:vabb:267436,0504 Sociology and anthropology
c:vabb:267437,0504 Sociology and anthropology
c:vabb:267451,0504 Sociology and anthropology
c:vabb:267452,0508 	Media and communications
c:vabb:267454,0507 Social and economic geography
c:vabb:267457,0502 Economics and business
c:vabb:267458,0502 Economics and business
c:vabb:267459,0502 Economics and business
c:vabb:267460,0502 Economics and business
c:vabb:267463,0502 Economics and business
c:vabb:267465,0502 Economics and business
c:vabb:267466,0502 Economics and business
c:vabb:267467,0502 Economics and business
c:vabb:267468,060302 Philosophy
c:vabb:267469,060302 Philosophy
c:vabb:267471,0505 Law and legal studies
c:vabb:267485,0505 Law and legal studies
c:vabb:267496,0505 Law and legal studies
c:vabb:267497,0508 	Media and communications
c:vabb:267499,0505 Law and legal studies
c:vabb:267513,060302 Philosophy
c:vabb:267514,060202 Linguistics
c:vabb:267517,060202 Linguistics
c:vabb:267518,0303 Health sciences
c:vabb:267519,0302 Clinical sciences
c:vabb:267525,060202 Linguistics
c:vabb:267526,0506 Political sciences
c:vabb:267528,060304 Theology and religious studies
c:vabb:267530,0505 Law and legal studies
c:vabb:267532,0505 Law and legal studies
c:vabb:267534,0505 Law and legal studies
c:vabb:267535,060202 Linguistics
c:vabb:267545,0505 Law and legal studies
c:vabb:267567,0505 Law and legal studies
c:vabb:267573,0306 Translational sciences
c:vabb:267589,"0208 Computer engineering, information technology and mathematical engineering"
c:vabb:267594,060203 Literary studies
c:vabb:267612,060203 Literary studies
c:vabb:267616,0106 Biological sciences
c:vabb:267616,0303 Health sciences
c:vabb:267617,0101 Mathematical sciences
c:vabb:267618,0303 Health sciences
c:vabb:267623,0505 Law and legal studies
c:vabb:267628,0502 Economics and business
c:vabb:267641,0504 Sociology and anthropology
c:vabb:267643,060203 Literary studies
c:vabb:267649,0303 Health sciences
c:vabb:267651,0604 Arts
c:vabb:267666,060104 History
c:vabb:267667,060104 History
c:vabb:267679,0508 	Media and communications
c:vabb:267684,0503 Pedagogical and educational sciences
c:vabb:267688,0399 Other medical and health sciences
c:vabb:267689,060302 Philosophy
c:vabb:267697,0504 Sociology and anthropology
c:vabb:267697,0506 Political sciences
c:vabb:267699,060302 Philosophy
c:vabb:267700,0503 Pedagogical and educational sciences
c:vabb:267713,060302 Philosophy
c:vabb:267715,0507 Social and economic geography
c:vabb:267728,0699 Other humanities and the arts
c:vabb:267752,060202 Linguistics
c:vabb:267754,0604 Arts
c:vabb:267755,0604 Arts
c:vabb:267757,0505 Law and legal studies
c:vabb:267768,0503 Pedagogical and educational sciences
c:vabb:267775,060202 Linguistics
c:vabb:267820,060202 Linguistics
c:vabb:267865,0506 Political sciences
c:vabb:267870,0504 Sociology and anthropology
c:vabb:267878,0504 Sociology and anthropology
c:vabb:268026,0302 Clinical sciences
